year,month,date_of_month,day_of_week,births
1970-01-01 00:00:00.000001997,3,5,3,11570
1970-01-01 00:00:00.000001997,3,6,4,11523
1970-01-01 00:00:00.000001997,3,7,5,11571
1970-01-01 00:00:00.000001997,3,8,6,8700
1970-01-01 00:00:00.000001997,3,9,7,7649
1970-01-01 00:00:00.000001997,3,10,1,10691
1970-01-01 00:00:00.000001997,3,11,2,11944
1970-01-01 00:00:00.000001997,3,12,3,11661
1970-01-01 00:00:00.000001997,3,13,4,11397
1970-01-01 00:00:00.000001997,3,14,5,11573
1970-01-01 00:00:00.000001997,3,15,6,8521
1970-01-01 00:00:00.000001997,3,16,7,7617
1970-01-01 00:00:00.000001997,3,17,1,10881
1970-01-01 00:00:00.000001997,3,18,2,11726
1970-01-01 00:00:00.000001997,3,19,3,11550
1970-01-01 00:00:00.000001997,3,20,4,11634
1970-01-01 00:00:00.000001997,3,21,5,11846
1970-01-01 00:00:00.000001997,3,22,6,8641
1970-01-01 00:00:00.000001997,3,23,7,7594
1970-01-01 00:00:00.000001997,3,24,1,10903
1970-01-01 00:00:00.000001997,3,25,2,12160
1970-01-01 00:00:00.000001997,3,26,3,11845
1970-01-01 00:00:00.000001997,3,27,4,11745
1970-01-01 00:00:00.000001997,3,28,5,11184
1970-01-01 00:00:00.000001997,3,29,6,8329
1970-01-01 00:00:00.000001997,3,30,7,7458
1970-01-01 00:00:00.000001997,3,31,1,10283
1970-01-01 00:00:00.000001997,4,1,2,10799
1970-01-01 00:00:00.000001997,4,2,3,11662
1970-01-01 00:00:00.000001997,4,3,4,11669
1970-01-01 00:00:00.000001997,4,4,5,11657
1970-01-01 00:00:00.000001997,4,5,6,8576
1970-01-01 00:00:00.000001997,4,6,7,7207
1970-01-01 00:00:00.000001997,4,7,1,10726
1970-01-01 00:00:00.000001997,4,8,2,11840
1970-01-01 00:00:00.000001997,4,9,3,11356
1970-01-01 00:00:00.000001997,4,10,4,11499
1970-01-01 00:00:00.000001997,4,11,5,11348
1970-01-01 00:00:00.000001997,4,12,6,8444
1970-01-01 00:00:00.000001997,4,13,7,7559
1970-01-01 00:00:00.000001997,4,14,1,10620
1970-01-01 00:00:00.000001997,4,15,2,11714
1970-01-01 00:00:00.000001997,4,16,3,11652
1970-01-01 00:00:00.000001997,4,17,4,11743
1970-01-01 00:00:00.000001997,4,18,5,11560
1970-01-01 00:00:00.000001997,4,19,6,8497
1970-01-01 00:00:00.000001997,4,20,7,7673
1970-01-01 00:00:00.000001997,4,21,1,10793
1970-01-01 00:00:00.000001997,4,22,2,11979
1970-01-01 00:00:00.000001997,4,23,3,11783
1970-01-01 00:00:00.000001997,4,24,4,11755
1970-01-01 00:00:00.000001997,4,25,5,11295
1970-01-01 00:00:00.000001997,4,26,6,8285
1970-01-01 00:00:00.000001997,4,27,7,7410
1970-01-01 00:00:00.000001997,4,28,1,10265
1970-01-01 00:00:00.000001997,4,29,2,11518
1970-01-01 00:00:00.000001997,4,30,3,11346
1970-01-01 00:00:00.000001997,5,1,4,11608
1970-01-01 00:00:00.000001997,5,2,5,11686
1970-01-01 00:00:00.000001997,5,3,6,8502
1970-01-01 00:00:00.000001997,5,4,7,7868
1970-01-01 00:00:00.000001997,5,5,1,10982
1970-01-01 00:00:00.000001997,5,6,2,11855
1970-01-01 00:00:00.000001997,5,7,3,11781
1970-01-01 00:00:00.000001997,5,8,4,11861
1970-01-01 00:00:00.000001997,5,9,5,11701
1970-01-01 00:00:00.000001997,5,10,6,8568
1970-01-01 00:00:00.000001997,5,11,7,7493
1970-01-01 00:00:00.000001997,5,12,1,11247
1970-01-01 00:00:00.000001997,5,13,2,12031
1970-01-01 00:00:00.000001997,5,14,3,11703
1970-01-01 00:00:00.000001997,5,15,4,12109
1970-01-01 00:00:00.000001997,5,16,5,11749
1970-01-01 00:00:00.000001997,5,17,6,8493
1970-01-01 00:00:00.000001997,5,18,7,7845
1970-01-01 00:00:00.000001997,5,19,1,11189
1970-01-01 00:00:00.000001997,5,20,2,12346
1970-01-01 00:00:00.000001997,5,21,3,11910
1970-01-01 00:00:00.000001997,5,22,4,12023
1970-01-01 00:00:00.000001997,5,23,5,12212
1970-01-01 00:00:00.000001997,5,24,6,8756
1970-01-01 00:00:00.000001997,5,25,7,7873
1970-01-01 00:00:00.000001997,5,26,1,8079
1970-01-01 00:00:00.000001997,5,27,2,11045
1970-01-01 00:00:00.000001997,5,28,3,12545
1970-01-01 00:00:00.000001997,5,29,4,12357
1970-01-01 00:00:00.000001997,5,30,5,12061
1970-01-01 00:00:00.000001997,5,31,6,8853
1970-01-01 00:00:00.000001997,6,1,7,7763
1970-01-01 00:00:00.000001997,6,2,1,10716
1970-01-01 00:00:00.000001997,6,3,2,12037
1970-01-01 00:00:00.000001997,6,4,3,11794
1970-01-01 00:00:00.000001997,6,5,4,11826
1970-01-01 00:00:00.000001997,6,6,5,11938
1970-01-01 00:00:00.000001997,6,7,6,8678
1970-01-01 00:00:00.000001997,6,8,7,7578
1970-01-01 00:00:00.000001997,6,9,1,10854
1970-01-01 00:00:00.000001997,6,10,2,12251
1970-01-01 00:00:00.000001997,6,11,3,12075
1970-01-01 00:00:00.000001997,6,12,4,11882
1970-01-01 00:00:00.000001997,6,13,5,11214
1970-01-01 00:00:00.000001997,6,14,6,8835
1970-01-01 00:00:00.000001997,6,15,7,7777
1970-01-01 00:00:00.000001997,6,16,1,11212
1970-01-01 00:00:00.000001997,6,17,2,12190
1970-01-01 00:00:00.000001997,6,18,3,11875
1970-01-01 00:00:00.000001997,6,19,4,12012
1970-01-01 00:00:00.000001997,6,20,5,12192
